Experiment,Fluorescence Plate Reader Export
Instrument,SpectraMax M5
Operator,J. Smith
Date,2026-06-09
Plate ID,GVN-2026-0609-P03
Assay,IL-6 Standard Curve + Patient Samples
Excitation (nm),485
Emission (nm),535
Read mode,Endpoint
Gain,High
Wavelength corrected,Yes
Comments,"Plate reader paused 12:47-12:52 due to door open"
Software version,SoftMax Pro 7.1.2
Temperature (C),24.3
Notes,Background subtracted in software
,
Well,Sample_ID,Replicate,Fluorescence,Concentration_ng_mL
A1,STD_0,1,142,0
A2,STD_0,2,138,0
A3,STD_0,3,145,0
B1,STD_10,1,1822,10
B2,STD_10,2,1798,10
B3,STD_10,3,1841,10
C1,STD_50,1,8203,50
C2,STD_50,2,8154,50
C3,STD_50,3,8267,50
D1,STD_200,1,29841,200
D2,STD_200,2,30122,200
D3,STD_200,3,29756,200
E1,SAMPLE_A,1,4521,
E2,SAMPLE_A,2,4602,
E3,SAMPLE_A,3,4488,
F1,SAMPLE_B,1,12044,
F2,SAMPLE_B,2,11987,
F3,SAMPLE_B,3,12189,
G1,SAMPLE_C,1,723,
G2,SAMPLE_C,2,701,
G3,SAMPLE_C,3,745,
H1,BLANK,1,128,
H2,BLANK,2,131,
H3,BLANK,3,125,
